"Month-Year","80435","80424","80443","80497","80498"
"01-2021",155,183,91,9,92
"02-2021",134,128,41,6,56
"03-2020",2,6,5,2,4
"03-2021",99,131,65,8,59
"04-2020",41,37,11,0,20
"04-2021",71,93,36,6,54
"05-2020",43,30,2,3,20
"05-2021",16,18,4,3,24
"06-2020",12,8,4,1,13
"06-2021",11,6,2,0,4
"07-2020",13,26,4,3,13
"08-2020",9,11,5,1,2
"09-2020",41,31,5,2,39
"10-2020",84,113,31,5,64
"11-2020",252,254,77,11,171
"12-2020",175,198,48,7,127
